name_ru	name_eng	date	vote
Порнократия (2003)	Anatomie de l'enfer	13.07.2019, 20:07	4
Море соблазна (2019)	Serenity	13.07.2019, 20:06	7
Балканский рубеж (2019)	 	11.07.2019, 23:46	6
Богемская рапсодия (2018)	Bohemian Rhapsody	11.07.2019, 23:45	5
Анна (2019)	Anna	11.07.2019, 16:47	6
Отель Мумбаи: Противостояние (2018)	Hotel Mumbai	09.07.2019, 18:05	7
Человек-паук: Вдали от дома (2019)	Spider-Man: Far from Home	04.07.2019, 19:04	7
Человек-паук: Возвращение домой (2017)	Spider-Man: Homecoming	04.07.2019, 01:15	6
Однажды в Стокгольме (2018)	Stockholm	02.07.2019, 18:12	7
Банда аутсайдеров (1964)	Bande à part	01.07.2019, 23:21	7
Пляжный бездельник (2017)	The Beach Bum	01.07.2019, 19:12	6
Большие глаза (2014)	Big Eyes	28.06.2019, 16:31	8
Залечь на дно в Брюгге (2007)	In Bruges	28.06.2019, 16:30	9
Магазинные воришки (2018)	Manbiki kazoku	25.06.2019, 01:19	8
Куриоса (2019)	Curiosa	23.06.2019, 23:32	5
Чернобыль (мини-сериал, 2019)	Chernobyl	23.06.2019, 13:51	6
Песчаный замок (1989)	Suna no ue no Robinson	17.06.2019, 22:47	6
Гори, гори, моя звезда (1969)	 	12.06.2019, 18:50	8
Мне двадцать лет (1964)	 	09.06.2019, 00:43	9
Вита и Вирджиния (2018)	Vita & Virginia	07.06.2019, 13:44	6
Дикая жизнь (2017)	Wildlife	02.06.2019, 23:08	8
Зеленая книга (2018)	Green Book	27.05.2019, 22:14	8
Игра престолов (сериал, 2011 – 2019)	Game of Thrones	21.05.2019, 00:34	9
Дрянь (сериал, 2016 – 2019)	Fleabag	20.05.2019, 01:02	8
Человек, который удивил всех (2018)	The Man Who Surprised Everyone	11.05.2019, 22:30	7
Клип (2012)	Klip	10.05.2019, 23:09	5
Летят журавли (1957)	 	09.05.2019, 22:49	10
Любовник на день (2017)	L'amant d'un jour	03.05.2019, 23:30	7
Грязь (2013)	Filth	03.05.2019, 21:07	9
Синонимы (2019)	Synonymes	03.05.2019, 21:07	7
Бруклин (2015)	Brooklyn	09.04.2019, 07:40	8
Любой ценой (2016)	Hell or High Water	09.04.2019, 07:40	8
Фаворитка (2018)	The Favourite	09.04.2019, 07:36	8
Меч короля Артура (2017)	King Arthur: Legend of the Sword	09.04.2019, 07:35	7
Фагот (2018)	 	09.04.2019, 07:35	7
Джей и Молчаливый Боб наносят ответный удар (2001)	Jay and Silent Bob Strike Back	09.04.2019, 07:35	8
Догма (1999)	Dogma	09.04.2019, 07:34	9
Крепкий орешек (1988)	Die Hard	09.04.2019, 07:34	9
Это мы (сериал, 2016 – ...)	This Is Us	09.04.2019, 07:34	8
Дюнкерк (2017)	Dunkirk	09.04.2019, 07:34	9
Нелюбовь (2017)	 	09.04.2019, 07:33	8
Кукольный дом (сериал, 2009 – 2010)	Dollhouse	09.04.2019, 07:33	8
Звёздные войны: Эпизод 4 – Новая надежда (1977)	Star Wars	09.04.2019, 07:33	9
Звёздные войны: Эпизод 6 – Возвращение Джедая (1983)	Star Wars: Episode VI - Return of the Jedi	09.04.2019, 07:33	9
Назад в будущее 3 (1990)	Back to the Future Part III	09.04.2019, 07:32	9
Солнечный удар (2014)	 	09.04.2019, 07:32	6
Гастролёры (сериал, 2016)	Roadies	09.04.2019, 07:31	8
Хан Соло: Звёздные войны. Истории (2018)	Solo: A Star Wars Story	09.04.2019, 07:31	8
С широко закрытыми глазами (1999)	Eyes Wide Shut	09.04.2019, 00:28	8
Жмурки (2005)	 	31.03.2019, 00:23	8
Две девицы на мели (сериал, 2011 – 2017)	2 Broke Girls	20.03.2019, 00:29	8
Две девицы на мели (сериал, 2019)	 	20.03.2019, 00:29	6
